MsgID.GLOBAL_POSITION,0.0000000,-122.3972741,37.7925903,3.1350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.2800000,12.2606640,15.6316605,-3.1350601
MsgID.LOCAL_VELOCITY,35.2800000,-0.0004383,0.0001765,0.0001619
MsgID.GLOBAL_POSITION,0.0000000,-122.3972752,37.7925890,3.1750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1400000
MsgID.LOCAL_POSITION,35.5300000,12.1217937,15.5357571,-3.1758163
MsgID.LOCAL_VELOCITY,35.5300000,-0.0004343,0.0001941,-0.1410665
MsgID.GLOBAL_POSITION,0.0000000,-122.3972739,37.7925887,3.5180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.3400000
MsgID.LOCAL_POSITION,35.7810000,12.0833540,15.6502056,-3.5181541
MsgID.LOCAL_VELOCITY,35.7810000,0.0055774,0.0003460,-2.3496966
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972731,37.7925890,4.3370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0100000,-3.8300000
MsgID.LOCAL_POSITION,36.0300000,12.1119909,15.7206268,-4.3374639
MsgID.LOCAL_VELOCITY,36.0300000,0.0139860,-0.0167366,-3.8397031
MsgID.GLOBAL_POSITION,0.0000000,-122.3972732,37.7925890,5.1900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-2.3200000
MsgID.LOCAL_POSITION,36.2810000,12.1196136,15.7154980,-5.1907172
MsgID.LOCAL_VELOCITY,36.2810000,0.0135933,-0.0220640,-2.3267014
MsgID.GLOBAL_POSITION,0.0000000,-122.3972732,37.7925901,5.4280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,0.1900000
MsgID.LOCAL_POSITION,36.5310000,12.2431536,15.7096043,-5.4285011
MsgID.LOCAL_VELOCITY,36.5310000,0.0127697,-0.0207272,0.1915431
MsgID.GLOBAL_POSITION,0.0000000,-122.3972736,37.7925897,5.1090000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2800000,-0.3800000,1.7000000
MsgID.LOCAL_POSITION,36.7800000,12.1965370,15.6785450,-5.1094208
MsgID.LOCAL_VELOCITY,36.7800000,-0.2817688,-0.3887590,1.7082206
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972763,37.7925865,4.8110000
MsgID.LOCAL_VELOCITY,0.0000000,-1.5300000,-2.0200000,0.1900000
MsgID.LOCAL_POSITION,37.0320000,11.8407764,15.4318972,-4.8117557
MsgID.LOCAL_VELOCITY,37.0320000,-1.5333670,-2.0284081,0.1968180
MsgID.GLOBAL_POSITION,0.0000000,-122.3972842,37.7925825,4.9020000
MsgID.LOCAL_VELOCITY,0.0000000,-2.4600000,-3.3500000,-0.7400000
MsgID.LOCAL_POSITION,37.2810000,11.3990564,14.7315826,-4.9026184
MsgID.LOCAL_VELOCITY,37.2810000,-2.4665983,-3.3509755,-0.7470646
MsgID.GLOBAL_POSITION,0.0000000,-122.3972956,37.7925770,5.0080000
MsgID.LOCAL_VELOCITY,0.0000000,-2.8800000,-3.9000000,-0.0800000
MsgID.LOCAL_POSITION,37.5310000,10.7858295,13.7205915,-5.0085936
MsgID.LOCAL_VELOCITY,37.5310000,-2.8822172,-3.9089177,-0.0854919
MsgID.GLOBAL_POSITION,0.0000000,-122.3973065,37.7925704,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,-3.4000000,-4.5500000,0.2100000
MsgID.LOCAL_POSITION,37.7830000,10.0491495,12.7530127,-4.9819789
MsgID.LOCAL_VELOCITY,37.7830000,-3.4012387,-4.5569482,0.2168897
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973192,37.7925606,4.9640000
MsgID.LOCAL_VELOCITY,0.0000000,-4.0200000,-5.3300000,0.0900000
MsgID.LOCAL_POSITION,38.0330000,8.9609566,11.6221209,-4.9644575
MsgID.LOCAL_VELOCITY,38.0330000,-4.0274024,-5.3394113,0.0951996
MsgID.GLOBAL_POSITION,0.0000000,-122.3973381,37.7925498,4.9770000
MsgID.LOCAL_VELOCITY,0.0000000,-4.5600000,-6.0400000,0.0700000
MsgID.LOCAL_POSITION,38.2830000,7.7622409,9.9458294,-4.9774847
MsgID.LOCAL_VELOCITY,38.2830000,-4.5638537,-6.0413265,0.0781209
MsgID.GLOBAL_POSITION,0.0000000,-122.3973545,37.7925400,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,-5.0100000,-6.5600000,0.1700000
MsgID.LOCAL_POSITION,38.5330000,6.6683226,8.4881878,-4.9849849
MsgID.LOCAL_VELOCITY,38.5330000,-5.0123916,-6.5650663,0.1719991
MsgID.GLOBAL_POSITION,0.0000000,-122.3973722,37.7925297,4.9640000
MsgID.LOCAL_VELOCITY,0.0000000,-5.2800000,-6.8200000,0.1700000
MsgID.LOCAL_POSITION,38.7840000,5.5311241,6.9113941,-4.9641714
MsgID.LOCAL_VELOCITY,38.7840000,-5.2881961,-6.8241200,0.1724874
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973929,37.7925164,4.9640000
MsgID.LOCAL_VELOCITY,0.0000000,-5.4400000,-6.9300000,0.0100000
MsgID.LOCAL_POSITION,39.0330000,4.0485225,5.0709963,-4.9642401
MsgID.LOCAL_VELOCITY,39.0330000,-5.4464903,-6.9335723,0.0118513
MsgID.GLOBAL_POSITION,0.0000000,-122.3974125,37.7925051,4.9650000
MsgID.LOCAL_VELOCITY,0.0000000,-5.5000000,-6.9300000,-0.0200000
MsgID.LOCAL_POSITION,39.2840000,2.7999408,3.3292682,-4.9653511
MsgID.LOCAL_VELOCITY,39.2840000,-5.5079923,-6.9391632,-0.0206490
MsgID.GLOBAL_POSITION,0.0000000,-122.3974313,37.7924924,4.9580000
MsgID.LOCAL_VELOCITY,0.0000000,-5.2200000,-6.3200000,-0.0600000
MsgID.LOCAL_POSITION,39.5340000,1.3820307,1.6605874,-4.9581676
MsgID.LOCAL_VELOCITY,39.5340000,-5.2271166,-6.3224587,-0.0678159
MsgID.GLOBAL_POSITION,0.0000000,-122.3974467,37.7924813,4.9570000
MsgID.LOCAL_VELOCITY,0.0000000,-4.0900000,-4.9400000,-0.1000000
MsgID.LOCAL_POSITION,39.7840000,0.1471337,0.2889039,-4.9579620
MsgID.LOCAL_VELOCITY,39.7840000,-4.0986409,-4.9494872,-0.1060602
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974591,37.7924738,4.9550000
MsgID.LOCAL_VELOCITY,0.0000000,-3.0100000,-3.5800000,-0.1400000
