MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957138,37.7934951,0.0000000
MsgID.LOCAL_POSITION,2791.6780000,0.0000837,0.2104519,-0.1849938
MsgID.LOCAL_VELOCITY,2791.6780000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957090,37.7934954,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2791.9280000,0.0196932,0.4415128,-0.2127833
MsgID.LOCAL_VELOCITY,2791.9280000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957084,37.7934948,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2792.1770000,-0.0237426,0.4531440,-0.2368321
MsgID.LOCAL_VELOCITY,2792.1770000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957109,37.7934962,0.2540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2792.4270000,0.1294986,0.2534272,-0.2558088
MsgID.LOCAL_VELOCITY,2792.4270000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957091,37.7934965,0.2660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957138,37.7934951,0.0000000
MsgID.LOCAL_POSITION,2792.6770000,0.1495090,0.4540235,-0.2673908
MsgID.LOCAL_VELOCITY,2792.6770000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957073,37.7934960,0.2710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2792.9290000,0.0831912,0.5678828,-0.2717649
MsgID.LOCAL_VELOCITY,2792.9290000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957084,37.7934941,0.2700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2793.1780000,-0.1296805,0.4672587,-0.2699996
MsgID.LOCAL_VELOCITY,2793.1780000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957087,37.7934936,0.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2793.4290000,-0.1701800,0.4467696,-0.2633833
MsgID.LOCAL_VELOCITY,2793.4290000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957084,37.7934938,0.2530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957138,37.7934951,0.0000000
MsgID.LOCAL_POSITION,2793.6780000,-0.1267054,0.4705907,-0.2517108
MsgID.LOCAL_VELOCITY,2793.6780000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957102,37.7934950,0.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2793.9290000,-0.0173269,0.3032322,-0.2362656
MsgID.LOCAL_VELOCITY,2793.9290000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957108,37.7934948,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2794.1790000,-0.0327972,0.2908663,-0.2165999
MsgID.LOCAL_VELOCITY,2794.1790000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957080,37.7934956,0.1940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2794.4290000,0.0607360,0.5087335,-0.1926996
MsgID.LOCAL_VELOCITY,2794.4290000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957100,37.7934954,0.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957138,37.7934951,0.0000000
MsgID.LOCAL_POSITION,2794.6800000,0.0069651,0.3008418,-0.1641740
MsgID.LOCAL_VELOCITY,2794.6800000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957101,37.7934937,0.1350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2794.9290000,-0.1589912,0.3422339,-0.1333558
MsgID.LOCAL_VELOCITY,2794.9290000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957076,37.7934944,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2795.1800000,-0.0629099,0.5602459,-0.1026107
MsgID.LOCAL_VELOCITY,2795.1800000,0.0000027,0.0000006,-0.0000174
MsgID.GLOBAL_POSITION,0.0000000,-122.3957076,37.7934950,0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2795.4290000,-0.0094753,0.5464314,-0.0766291
MsgID.LOCAL_VELOCITY,2795.4290000,0.0000083,0.0000006,-0.0000363
MsgID.GLOBAL_POSITION,0.0000000,-122.3957080,37.7934951,0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957138,37.7934951,0.0000000
MsgID.LOCAL_POSITION,2795.6800000,-0.0046894,0.5058464,-0.0550546
MsgID.LOCAL_VELOCITY,2795.6800000,0.0000160,0.0000009,0.0000651
MsgID.GLOBAL_POSITION,0.0000000,-122.3957090,37.7934961,0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2795.9300000,0.1149596,0.4133765,-0.0436399
MsgID.LOCAL_VELOCITY,2795.9300000,0.0000070,0.0000033,-0.0000080
MsgID.GLOBAL_POSITION,0.0000000,-122.3957111,37.7934961,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2796.1800000,0.0843683,0.2213173,-0.0426526
MsgID.LOCAL_VELOCITY,2796.1800000,0.0000054,0.0000006,-0.0000197
MsgID.GLOBAL_POSITION,0.0000000,-122.3957112,37.7934951,0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2796.4300000,-0.0016884,0.2315929,-0.0520516
MsgID.LOCAL_VELOCITY,2796.4300000,-0.0000145,0.0000026,0.0000032
MsgID.GLOBAL_POSITION,0.0000000,-122.3957098,37.7934949,0.0670000
